--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
024.284  000.039  000.039: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
024.286  000.095  000.056: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
024.290  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
024.299  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
024.426  000.063  000.063: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/neotest/plugin/neotest.lua
024.428  000.101  000.038: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
024.431  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
024.435  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
025.019  000.074  000.074: require('nio.tasks')
025.079  000.059  000.059: require('nio.control')
025.214  000.134  000.134: require('nio.uv')
025.272  000.057  000.057: require('nio.tests')
025.423  000.100  000.100: require('vim.ui')
025.425  000.153  000.053: require('nio.ui')
025.529  000.053  000.053: require('nio.streams')
025.530  000.104  000.051: require('nio.file')
025.708  000.072  000.072: require('nio.util')
025.769  000.185  000.113: require('nio.logger')
025.770  000.240  000.054: require('nio.lsp')
025.847  000.076  000.076: require('nio.process')
025.854  000.970  000.073: require('nio')
025.854  001.032  000.062: require('neotest.async')
026.020  000.073  000.073: require('neotest.lib.require')
026.023  000.168  000.095: require('neotest.lib')
026.198  000.012  000.012: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
026.201  000.120  000.108: require('neotest.config')
026.254  000.052  000.052: require('neotest.utils')
026.284  000.260  000.087: require('neotest.logging')
026.374  000.090  000.090: require('neotest-jest.util')
026.560  000.061  000.061: require('vim.health')
026.561  000.128  000.066: require('vim.deprecated.health')
026.580  000.205  000.078: require('neotest-jest.jest-util')
026.636  000.055  000.055: require('neotest-jest.parameterized-tests')
026.647  002.173  000.363: require('neotest-jest')
026.772  000.062  000.062: require('neotest-vitest.util')
026.801  000.152  000.090: require('neotest-vitest')
026.853  000.052  000.052: require('neotest')
026.965  000.056  000.056: require('neotest.adapters')
027.159  000.054  000.054: require('neotest.client.events')
027.160  000.127  000.073: require('neotest.client.state')
027.219  000.058  000.058: require('neotest.client.runner')
027.281  000.061  000.061: require('neotest.client.strategies')
027.283  000.318  000.072: require('neotest.client')
027.394  000.057  000.057: require('neotest.consumers.run')
027.453  000.059  000.059: require('neotest.consumers.diagnostic')
027.528  000.073  000.073: require('neotest.consumers.status')
027.592  000.064  000.064: require('neotest.consumers.output')
027.708  000.057  000.057: require('neotest.consumers.output_panel.panel')
027.710  000.117  000.060: require('neotest.consumers.output_panel')
028.086  000.059  000.059: require('neotest.lib.func_util.memoize')
028.087  000.133  000.075: require('neotest.lib.func_util')
028.089  000.202  000.069: require('neotest.types.tree')
028.146  000.056  000.056: require('neotest.types.fanout_accum')
028.147  000.315  000.057: require('neotest.types')
028.220  000.072  000.072: require('neotest.consumers.summary.canvas')
028.304  000.084  000.084: require('neotest.consumers.summary.component')
028.313  000.540  000.068: require('neotest.consumers.summary.summary')
028.319  000.609  000.069: require('neotest.consumers.summary')
028.382  000.063  000.063: require('neotest.consumers.jump')
028.613  000.004  000.004: require('jit.profile')
029.826  001.211  001.211: require('jit.vmdef')
029.831  001.303  000.088: require('plenary.profile.p')
029.832  001.393  000.089: require('plenary.profile')
029.833  001.451  000.058: require('neotest.consumers.benchmark')
029.919  000.085  000.085: require('neotest.consumers.quickfix')
030.067  000.075  000.075: require('neotest.consumers.state.tracker')
030.069  000.150  000.075: require('neotest.consumers.state')
030.228  000.084  000.084: require('neotest.consumers.watch.watcher')
030.234  000.164  000.079: require('neotest.consumers.watch')
030.234  002.950  000.060: require('neotest.consumers')
030.312  000.069  000.069: require('neotest.lib.window')
030.492  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
030.497  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
030.974  000.103  000.103: require('ibl.utils')
030.981  000.193  000.090: require('ibl.config')
031.197  000.147  000.147: require('ibl.indent')
031.203  000.221  000.074: require('ibl.hooks')
031.207  000.498  000.083: require('ibl.highlights')
031.296  000.089  000.089: require('ibl.autocmds')
031.403  000.107  000.107: require('ibl.inlay_hints')
031.501  000.097  000.097: require('ibl.virt_text')
031.923  000.336  000.336: require('ibl.scope_languages')
031.924  000.422  000.086: require('ibl.scope')
031.927  001.424  000.212: require('ibl')
032.153  000.077  000.077: require('vim.lsp.log')
032.414  000.260  000.260: require('vim.lsp.protocol')
032.546  000.132  000.132: require('vim.lsp.util')
032.688  000.065  000.065: require('vim.lsp.sync')
032.690  000.143  000.077: require('vim.lsp._changetracking')
032.829  000.061  000.061: require('vim.lsp._transport')
032.836  000.144  000.083: require('vim.lsp.rpc')
032.871  000.898  000.142: require('vim.lsp')
033.036  000.081  000.081: require('vim.lsp.completion')
033.058  000.187  000.106: require('vim.lsp.handlers')
033.227  000.005  000.005: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
033.239  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
033.833  000.263  000.263: require('nvim-treesitter-playground')
033.894  000.368  000.105: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/playground/plugin/nvim-treesitter-playground.lua
033.898  000.418  000.050: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
033.904  000.002  000.002: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
033.964  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
034.469  000.322  000.322: require('gitsigns')
034.681  000.189  000.189: require('gitsigns.highlight')
034.768  000.083  000.083: require('gitsigns.debug.log')
034.871  000.102  000.102: require('gitsigns.config')
035.236  000.077  000.077: require('gitsigns.debounce')
035.242  001.139  000.366: sourcing /Users/yuhribernardes/.local/share/nvim/lazy/gitsigns.nvim/plugin/gitsigns.lua
035.244  001.182  000.043: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
035.247  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
035.254  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
035.335  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
035.339  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
035.657  000.282  000.282: require('modicator')
035.790  000.096  000.096: require('modicator.backup')
035.865  000.074  000.074: require('modicator.utils')
036.418  000.002  000.002: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
036.422  000.001  000.001: sourcing nvim_exec2() called at /Users/yuhribernardes/.config/nvim/init.lua:0
